time,source,destination,protocol,length,src_port,dst_port,info
0.0,192.168.1.100,10.0.0.1,TCP,66,49152,80,49152 -> 80 [SYN] Seq=0
0.1,192.168.1.100,10.0.0.1,TCP,66,49153,443,49153 -> 443 [SYN] Seq=0
0.2,192.168.1.100,10.0.0.20,TCP,66,49154,445,49154 -> 445 [SYN] Seq=0
0.3,192.168.1.100,10.0.0.20,TCP,66,49155,3389,49155 -> 3389 [SYN] Seq=0
1.2,192.168.1.105,10.0.0.20,TCP,120,51234,445,51234 -> 445 [ACK] Seq=1
2.5,192.168.1.100,10.0.0.34,TCP,66,49156,22,49156 -> 22 [SYN] Seq=0
5.0,192.168.1.100,10.0.0.50,TCP,1420,49157,1433,49157 -> 1433 [ACK] Seq=1
10.0,192.168.1.100,10.0.0.20,TCP,66,49158,8080,49158 -> 8080 [SYN] Seq=0
15.0,192.168.1.110,10.0.0.1,UDP,84,53,53,Standard query
20.0,192.168.1.100,10.0.0.20,TCP,66,49159,135,49159 -> 135 [SYN] Seq=0
